书名,别名,链接,信息,评分,评分人数,描述
教父,The Godfather,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9.0,36890,“教父三部曲”电影原著
艺术的故事,The Story of Art,https://book.douban.com/subject/3162991/,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,9.6,21263,从最早的洞窟绘画到当今的实验艺术
鹿鼎记,鹿鼎记,https://book.douban.com/subject/1212893/,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,51615,武侠的解构，流氓的狂欢
悉达多,悉达多,https://book.douban.com/subject/3406401/,[德] 赫尔曼·黑塞 / 杨玉功 译 / 上海人民出版社 / 2009-3 / 20.00,9.0,39604,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
罗杰疑案:阿加莎·克里斯蒂侦探作品集02, : 阿加莎·克里斯蒂侦探作品集02 ,https://book.douban.com/subject/21371175/,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,9.2,44093,
基地,Foundation,https://book.douban.com/subject/1258490/,[美] 艾萨克·阿西莫夫 / 叶李华 / 天地出版社 / 2005-1 / 21.00元,9.2,14926,
梦里花落知多少,梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.8,90573,哀而不伤
解忧杂货店,ナミヤ雑貨店の奇蹟,https://book.douban.com/subject/25862578/,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.5,714041,现代人内心流失的东西，这家杂货店能帮你找回
唐诗三百首,唐诗三百首,https://book.douban.com/subject/1013267/,蘅塘退士 / 中华书局 / 1984-07-01 / 0.65,9.4,21653,熟读唐诗三百首，不会吟诗也会吟
一个陌生女人的来信,Brief einer Unbekannten,https://book.douban.com/subject/2154960/,[奥] 斯蒂芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,130243,暗恋的极致
海子的诗,海子的诗,https://book.douban.com/subject/1011754/,海子 / 人民文学出版社 / 1999-04 / 15.40,8.9,40991,
看不见的城市,Le città invisibili,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,8.8,37216,每一座城市都只在想象中耸立，又在描述中坍圮
巨人的陨落:世纪三部曲, : 世纪三部曲 ,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9,78129,五个家族，一场战争
时间简史:插图本, : 插图本 ,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,8.8,56425,探索时间和空间的核心秘密
故事新编,故事新编,https://book.douban.com/subject/2046909/,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,9.4,29814,拾取古代传说，取一点因由，随意点染
送你一颗子弹,送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,136825,在这本书里，被“审视”的东西杂七杂八
